customer_id,comment,severity
C00033,My outage has been going on for 5 days and no one cares. Disgusting.,4
C00033,My service was cut off without warning. I demand an explanation.,5
C00033,Billing errors again! Third month in a row. Completely incompetent.,4
C00034,"Great experience, the technician was professional and efficient.",1
C00034,Nothing special to report. Service has been average.,1
C00035,The technician never showed up. I took a day off work for nothing.,3
C00035,My service was cut off without warning. I demand an explanation.,5
C00035,The outage was resolved. It would have been nice to get a notification.,4
C00036,The support team was extremely helpful and resolved my issue quickly.,1
C00036,"Very happy with the service, everything works great.",1
C00037,The outage was resolved. It would have been nice to get a notification.,2
C00037,Service is generally okay. Had a minor billing discrepancy last month.,1
C00039,"Great experience, the technician was professional and efficient.",1
C00039,Service interruption was brief. Would like better communication next time.,1
C00041,"Excellent response time, I am very satisfied.",2
C00041,"Excellent response time, I am very satisfied.",3
C00042,Technician arrived on time but the fix took longer than expected.,3
C00042,I have called 7 times and nobody fixes the problem. I want to cancel my account.,4
C00042,I am absolutely furious — my bill doubled for no reason and no one can explain it.,3
C00042,Service is generally okay. Had a minor billing discrepancy last month.,5
C00043,This is the worst experience I have ever had. Planning to switch provider immediately.,5
C00043,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",4
C00043,I am absolutely furious — my bill doubled for no reason and no one can explain it.,4
C00043,Billing errors again! Third month in a row. Completely incompetent.,4
C00044,Account change was processed but took a few extra days.,1
C00044,"Very happy with the service, everything works great.",2
C00045,My billing issue was resolved within hours. Highly recommend.,3
C00046,The outage was resolved. It would have been nice to get a notification.,1
C00047,My service was cut off without warning. I demand an explanation.,5
C00047,I am done. Switching to a competitor as soon as possible. Nightmare.,4
C00047,I have called 7 times and nobody fixes the problem. I want to cancel my account.,4
C00047,I am done. Switching to a competitor as soon as possible. Nightmare.,4
C00047,Technician arrived on time but the fix took longer than expected.,3
C00051,The support person was polite but couldn't fully resolve my issue.,1
C00051,Very pleased with the resolution. Great team.,3
C00052,The support team was extremely helpful and resolved my issue quickly.,2
C00053,No major problems but the website is a bit slow.,2
C00054,I am done. Switching to a competitor as soon as possible. Nightmare.,4
C00054,Service is generally okay. Had a minor billing discrepancy last month.,3
C00054,Technician arrived on time but the fix took longer than expected.,4
C00054,I have called 7 times and nobody fixes the problem. I want to cancel my account.,4
C00054,My service was cut off without warning. I demand an explanation.,4
C00054,No major problems but the website is a bit slow.,4
C00056,Had to follow up twice to get my meter reading corrected.,1
C00058,This is the worst experience I have ever had. Planning to switch provider immediately.,3
C00058,The technician never showed up. I took a day off work for nothing.,3
C00058,I am done. Switching to a competitor as soon as possible. Nightmare.,3
C00058,My outage has been going on for 5 days and no one cares. Disgusting.,3
C00058,This is the worst experience I have ever had. Planning to switch provider immediately.,5
C00058,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",4
C00059,Billing seems correct this month. Last month there was a small issue.,3
C00059,"Excellent response time, I am very satisfied.",1
C00060,I am absolutely furious — my bill doubled for no reason and no one can explain it.,5
C00060,My outage has been going on for 5 days and no one cares. Disgusting.,4
C00060,The technician never showed up. I took a day off work for nothing.,5
C00060,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",3
C00062,"Outstanding service quality, no issues whatsoever.",3
C00065,The outage was resolved. It would have been nice to get a notification.,1
C00065,My billing issue was resolved within hours. Highly recommend.,3
C00066,Had to follow up twice to get my meter reading corrected.,5
C00066,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",4
C00066,The technician never showed up. I took a day off work for nothing.,4
C00066,The outage was resolved. It would have been nice to get a notification.,5
C00066,I am absolutely furious — my bill doubled for no reason and no one can explain it.,5
C00068,Unresponsive support and endless hold times. Absolutely awful.,5
C00068,Account change was processed but took a few extra days.,5
C00068,This is the worst experience I have ever had. Planning to switch provider immediately.,5
C00068,This is the worst experience I have ever had. Planning to switch provider immediately.,5
C00068,I am absolutely furious — my bill doubled for no reason and no one can explain it.,4
C00068,Billing errors again! Third month in a row. Completely incompetent.,3
C00070,Service interruption was brief. Would like better communication next time.,3
C00070,This is the worst experience I have ever had. Planning to switch provider immediately.,4
C00070,I am done. Switching to a competitor as soon as possible. Nightmare.,3
C00070,My outage has been going on for 5 days and no one cares. Disgusting.,3
C00070,Had to follow up twice to get my meter reading corrected.,3
C00071,The outage was resolved. It would have been nice to get a notification.,1
C00072,"Love the online portal, makes managing my account super easy.",1
C00076,My service was cut off without warning. I demand an explanation.,4
C00076,Billing errors again! Third month in a row. Completely incompetent.,3
C00076,The outage was resolved. It would have been nice to get a notification.,3
C00076,Account change was processed but took a few extra days.,4
C00076,This is the worst experience I have ever had. Planning to switch provider immediately.,5
C00076,I am done. Switching to a competitor as soon as possible. Nightmare.,3
C00077,I am absolutely furious — my bill doubled for no reason and no one can explain it.,1
C00077,"Great experience, the technician was professional and efficient.",2
C00079,Account change was processed but took a few extra days.,1
C00080,"Great experience, the technician was professional and efficient.",1
C00080,Account change was processed but took a few extra days.,3
C00081,Technician arrived on time but the fix took longer than expected.,1
C00081,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",1
C00082,Had to follow up twice to get my meter reading corrected.,1
C00082,"Outstanding service quality, no issues whatsoever.",1
C00083,Very pleased with the resolution. Great team.,1
C00083,The support team was extremely helpful and resolved my issue quickly.,2
C00085,The technician never showed up. I took a day off work for nothing.,4
C00085,This is the worst experience I have ever had. Planning to switch provider immediately.,5
C00085,Service is generally okay. Had a minor billing discrepancy last month.,5
C00086,Billing seems correct this month. Last month there was a small issue.,2
C00086,Billing seems correct this month. Last month there was a small issue.,3
C00087,Service interruption was brief. Would like better communication next time.,1
C00088,My service was cut off without warning. I demand an explanation.,3
C00088,I am done. Switching to a competitor as soon as possible. Nightmare.,5
C00088,Had to follow up twice to get my meter reading corrected.,5
C00088,My service was cut off without warning. I demand an explanation.,4
C00088,Account change was processed but took a few extra days.,5
C00088,I have called 7 times and nobody fixes the problem. I want to cancel my account.,3
C00090,Service interruption was brief. Would like better communication next time.,4
C00090,This is the worst experience I have ever had. Planning to switch provider immediately.,4
C00090,I have called 7 times and nobody fixes the problem. I want to cancel my account.,5
C00091,"Excellent response time, I am very satisfied.",1
C00091,"Love the online portal, makes managing my account super easy.",2
C00093,Service is generally okay. Had a minor billing discrepancy last month.,3
C00093,The technician never showed up. I took a day off work for nothing.,5
C00093,This is the worst experience I have ever had. Planning to switch provider immediately.,4
C00093,Technician arrived on time but the fix took longer than expected.,5
C00094,No major problems but the website is a bit slow.,3
C00094,Service is generally okay. Had a minor billing discrepancy last month.,1
C00095,I am absolutely furious — my bill doubled for no reason and no one can explain it.,5
C00095,Billing seems correct this month. Last month there was a small issue.,5
C00095,My service was cut off without warning. I demand an explanation.,4
C00096,This is the worst experience I have ever had. Planning to switch provider immediately.,2
C00097,No major problems but the website is a bit slow.,3
C00097,My outage has been going on for 5 days and no one cares. Disgusting.,4
C00097,Technician arrived on time but the fix took longer than expected.,4
C00097,Billing errors again! Third month in a row. Completely incompetent.,4
C00098,The support team was extremely helpful and resolved my issue quickly.,3
C00099,Technician arrived on time but the fix took longer than expected.,3
C00100,The technician never showed up. I took a day off work for nothing.,4
C00100,My service was cut off without warning. I demand an explanation.,3
C00100,I have called 7 times and nobody fixes the problem. I want to cancel my account.,5
C00100,Had to follow up twice to get my meter reading corrected.,4
C00101,"Excellent response time, I am very satisfied.",2
C00101,"Love the online portal, makes managing my account super easy.",3
C00102,"Love the online portal, makes managing my account super easy.",3
C00102,Had to follow up twice to get my meter reading corrected.,3
C00103,Service is generally okay. Had a minor billing discrepancy last month.,2
C00104,"Very happy with the service, everything works great.",1
C00107,Service is generally okay. Had a minor billing discrepancy last month.,2
C00107,"Outstanding service quality, no issues whatsoever.",2
C00110,Service is generally okay. Had a minor billing discrepancy last month.,3
C00110,Unresponsive support and endless hold times. Absolutely awful.,3
C00110,Service is generally okay. Had a minor billing discrepancy last month.,3
C00113,Service interruption was brief. Would like better communication next time.,3
C00113,Service interruption was brief. Would like better communication next time.,2
C00114,I have called 7 times and nobody fixes the problem. I want to cancel my account.,1
C00115,"Outstanding service quality, no issues whatsoever.",1
C00115,Service interruption was brief. Would like better communication next time.,1
C00116,Account change was processed but took a few extra days.,1
C00117,"Quick and helpful customer service, thank you!",2
C00118,Service interruption was brief. Would like better communication next time.,4
C00118,Nothing special to report. Service has been average.,4
C00118,The technician never showed up. I took a day off work for nothing.,4
C00118,I am absolutely furious — my bill doubled for no reason and no one can explain it.,5
C00118,Unresponsive support and endless hold times. Absolutely awful.,4
C00119,My billing issue was resolved within hours. Highly recommend.,1
C00120,My billing issue was resolved within hours. Highly recommend.,1
C00121,Very pleased with the resolution. Great team.,3
C00122,Nothing special to report. Service has been average.,1
C00123,Unresponsive support and endless hold times. Absolutely awful.,4
C00123,I am done. Switching to a competitor as soon as possible. Nightmare.,4
C00123,I am done. Switching to a competitor as soon as possible. Nightmare.,5
C00123,Account change was processed but took a few extra days.,4
C00123,I am done. Switching to a competitor as soon as possible. Nightmare.,5
C00125,"Excellent response time, I am very satisfied.",2
C00125,"Quick and helpful customer service, thank you!",2
C00127,I am absolutely furious — my bill doubled for no reason and no one can explain it.,5
C00127,The technician never showed up. I took a day off work for nothing.,3
C00127,Unresponsive support and endless hold times. Absolutely awful.,3
C00127,Service interruption was brief. Would like better communication next time.,4
C00127,This is the worst experience I have ever had. Planning to switch provider immediately.,3
C00128,"Love the online portal, makes managing my account super easy.",1
C00130,My billing issue was resolved within hours. Highly recommend.,2
C00131,Billing seems correct this month. Last month there was a small issue.,2
C00131,"Quick and helpful customer service, thank you!",2
C00132,My service was cut off without warning. I demand an explanation.,5
C00132,Unresponsive support and endless hold times. Absolutely awful.,4
C00132,Service is generally okay. Had a minor billing discrepancy last month.,3
C00132,No major problems but the website is a bit slow.,5
C00133,The technician never showed up. I took a day off work for nothing.,3
C00133,My billing issue was resolved within hours. Highly recommend.,2
C00134,Technician arrived on time but the fix took longer than expected.,3
C00136,I am absolutely furious — my bill doubled for no reason and no one can explain it.,4
C00136,Service is generally okay. Had a minor billing discrepancy last month.,3
C00136,Nothing special to report. Service has been average.,3
C00136,My service was cut off without warning. I demand an explanation.,3
C00138,"Excellent response time, I am very satisfied.",3
C00138,The support person was polite but couldn't fully resolve my issue.,2
C00139,I am absolutely furious — my bill doubled for no reason and no one can explain it.,4
C00139,My outage has been going on for 5 days and no one cares. Disgusting.,5
C00139,I am absolutely furious — my bill doubled for no reason and no one can explain it.,4
C00139,I am absolutely furious — my bill doubled for no reason and no one can explain it.,4
C00139,Had to follow up twice to get my meter reading corrected.,5
C00140,My outage has been going on for 5 days and no one cares. Disgusting.,3
C00140,The technician never showed up. I took a day off work for nothing.,4
C00140,My outage has been going on for 5 days and no one cares. Disgusting.,5
C00140,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",5
C00140,I am absolutely furious — my bill doubled for no reason and no one can explain it.,5
C00141,Very pleased with the resolution. Great team.,1
C00141,No major problems but the website is a bit slow.,2
C00142,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",3
C00142,I have called 7 times and nobody fixes the problem. I want to cancel my account.,4
C00142,The technician never showed up. I took a day off work for nothing.,3
C00142,The outage was resolved. It would have been nice to get a notification.,3
C00142,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",3
C00142,I am done. Switching to a competitor as soon as possible. Nightmare.,5
C00143,Technician arrived on time but the fix took longer than expected.,1
C00143,Technician arrived on time but the fix took longer than expected.,2
C00145,Account change was processed but took a few extra days.,3
C00146,Account change was processed but took a few extra days.,2
C00148,"Outstanding service quality, no issues whatsoever.",2
C00148,Unresponsive support and endless hold times. Absolutely awful.,1
C00152,Account change was processed but took a few extra days.,2
C00152,I am done. Switching to a competitor as soon as possible. Nightmare.,3
C00153,Service interruption was brief. Would like better communication next time.,2
C00154,Very pleased with the resolution. Great team.,3
C00154,The support person was polite but couldn't fully resolve my issue.,3
C00155,Had to follow up twice to get my meter reading corrected.,2
C00155,Had to follow up twice to get my meter reading corrected.,2
C00156,My service was cut off without warning. I demand an explanation.,3
C00156,The technician never showed up. I took a day off work for nothing.,3
C00156,I am absolutely furious — my bill doubled for no reason and no one can explain it.,4
C00156,The outage was resolved. It would have been nice to get a notification.,3
C00156,I am done. Switching to a competitor as soon as possible. Nightmare.,5
C00156,I have called 7 times and nobody fixes the problem. I want to cancel my account.,5
C00157,Nothing special to report. Service has been average.,5
C00157,The technician never showed up. I took a day off work for nothing.,3
C00157,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",3
C00157,My outage has been going on for 5 days and no one cares. Disgusting.,5
C00157,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",3
C00157,Unresponsive support and endless hold times. Absolutely awful.,4
C00158,The support person was polite but couldn't fully resolve my issue.,3
C00158,"Outstanding service quality, no issues whatsoever.",2
C00159,"Love the online portal, makes managing my account super easy.",2
C00159,Billing seems correct this month. Last month there was a small issue.,3
C00160,Had to follow up twice to get my meter reading corrected.,2
C00160,No major problems but the website is a bit slow.,1
C00161,Technician arrived on time but the fix took longer than expected.,2
C00162,My outage has been going on for 5 days and no one cares. Disgusting.,3
C00162,Billing seems correct this month. Last month there was a small issue.,4
C00162,I am absolutely furious — my bill doubled for no reason and no one can explain it.,4
C00162,The support person was polite but couldn't fully resolve my issue.,5
C00162,Billing errors again! Third month in a row. Completely incompetent.,5
C00162,I have called 7 times and nobody fixes the problem. I want to cancel my account.,3
C00163,"Quick and helpful customer service, thank you!",3
C00165,My service was cut off without warning. I demand an explanation.,5
C00165,The technician never showed up. I took a day off work for nothing.,5
C00165,I am done. Switching to a competitor as soon as possible. Nightmare.,4
C00165,Billing seems correct this month. Last month there was a small issue.,4
C00165,No major problems but the website is a bit slow.,5
C00165,I have called 7 times and nobody fixes the problem. I want to cancel my account.,3
C00166,"Quick and helpful customer service, thank you!",1
C00168,"Excellent response time, I am very satisfied.",3
C00168,"Very happy with the service, everything works great.",1
C00170,"Very happy with the service, everything works great.",3
C00170,"Excellent response time, I am very satisfied.",1
C00171,"Very happy with the service, everything works great.",1
C00172,Had to follow up twice to get my meter reading corrected.,3
C00172,Very pleased with the resolution. Great team.,1
C00173,Technician arrived on time but the fix took longer than expected.,1
C00173,My outage has been going on for 5 days and no one cares. Disgusting.,1
C00174,My service was cut off without warning. I demand an explanation.,4
C00174,Billing seems correct this month. Last month there was a small issue.,4
C00174,This is the worst experience I have ever had. Planning to switch provider immediately.,4
C00174,Technician arrived on time but the fix took longer than expected.,4
C00174,Unresponsive support and endless hold times. Absolutely awful.,3
C00175,Unresponsive support and endless hold times. Absolutely awful.,1
C00175,The new meter reading service is fantastic.,2
C00176,The support person was polite but couldn't fully resolve my issue.,2
C00176,My service was cut off without warning. I demand an explanation.,1
C00177,Billing errors again! Third month in a row. Completely incompetent.,1
C00178,My outage has been going on for 5 days and no one cares. Disgusting.,1
C00179,I have called 7 times and nobody fixes the problem. I want to cancel my account.,5
C00179,My outage has been going on for 5 days and no one cares. Disgusting.,4
C00179,Account change was processed but took a few extra days.,4
C00179,I am absolutely furious — my bill doubled for no reason and no one can explain it.,3
C00180,The support team was extremely helpful and resolved my issue quickly.,2
C00180,I am done. Switching to a competitor as soon as possible. Nightmare.,1
C00182,Very pleased with the resolution. Great team.,2
C00183,Very pleased with the resolution. Great team.,2
C00184,Billing errors again! Third month in a row. Completely incompetent.,5
C00184,Unresponsive support and endless hold times. Absolutely awful.,3
C00184,The technician never showed up. I took a day off work for nothing.,5
C00184,This is the worst experience I have ever had. Planning to switch provider immediately.,5
C00184,Billing errors again! Third month in a row. Completely incompetent.,5
C00185,I am done. Switching to a competitor as soon as possible. Nightmare.,3
C00186,Billing seems correct this month. Last month there was a small issue.,3
C00187,Service interruption was brief. Would like better communication next time.,3
C00187,"Very happy with the service, everything works great.",3
C00189,Account change was processed but took a few extra days.,4
C00189,This is the worst experience I have ever had. Planning to switch provider immediately.,5
C00189,I am absolutely furious — my bill doubled for no reason and no one can explain it.,3
C00189,The technician never showed up. I took a day off work for nothing.,3
C00190,The outage was resolved. It would have been nice to get a notification.,4
C00190,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",3
C00190,Unresponsive support and endless hold times. Absolutely awful.,3
C00190,Unresponsive support and endless hold times. Absolutely awful.,3
C00190,Account change was processed but took a few extra days.,5
C00190,The outage was resolved. It would have been nice to get a notification.,5
C00192,"Excellent response time, I am very satisfied.",1
C00193,"Excellent response time, I am very satisfied.",2
C00193,"Quick and helpful customer service, thank you!",2
C00194,Billing errors again! Third month in a row. Completely incompetent.,3
C00194,This is the worst experience I have ever had. Planning to switch provider immediately.,4
C00194,Billing seems correct this month. Last month there was a small issue.,5
C00194,The support person was polite but couldn't fully resolve my issue.,3
C00194,My service was cut off without warning. I demand an explanation.,5
C00195,"Quick and helpful customer service, thank you!",1
C00197,"Love the online portal, makes managing my account super easy.",2
C00197,Billing seems correct this month. Last month there was a small issue.,2
C00198,The technician never showed up. I took a day off work for nothing.,4
C00198,The outage was resolved. It would have been nice to get a notification.,5
C00198,This is the worst experience I have ever had. Planning to switch provider immediately.,3
C00198,My service was cut off without warning. I demand an explanation.,4
C00198,My outage has been going on for 5 days and no one cares. Disgusting.,4
C00198,I have called 7 times and nobody fixes the problem. I want to cancel my account.,3
C00199,"Very happy with the service, everything works great.",1
C00200,No major problems but the website is a bit slow.,1
C00200,"Love the online portal, makes managing my account super easy.",3
C00203,I am absolutely furious — my bill doubled for no reason and no one can explain it.,5
C00203,My service was cut off without warning. I demand an explanation.,3
C00203,Nothing special to report. Service has been average.,4
C00204,Billing seems correct this month. Last month there was a small issue.,1
C00205,This is the worst experience I have ever had. Planning to switch provider immediately.,4
C00205,Nothing special to report. Service has been average.,3
C00205,Had to follow up twice to get my meter reading corrected.,4
C00206,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",3
C00206,The technician never showed up. I took a day off work for nothing.,5
C00206,This is the worst experience I have ever had. Planning to switch provider immediately.,3
C00206,The support person was polite but couldn't fully resolve my issue.,5
C00206,Technician arrived on time but the fix took longer than expected.,4
C00206,This is the worst experience I have ever had. Planning to switch provider immediately.,3
C00207,The new meter reading service is fantastic.,1
C00208,Very pleased with the resolution. Great team.,1
C00209,Service interruption was brief. Would like better communication next time.,2
C00209,The technician never showed up. I took a day off work for nothing.,2
C00210,Service interruption was brief. Would like better communication next time.,2
C00211,Technician arrived on time but the fix took longer than expected.,3
C00211,Service is generally okay. Had a minor billing discrepancy last month.,1
C00212,My service was cut off without warning. I demand an explanation.,5
C00212,Unresponsive support and endless hold times. Absolutely awful.,5
C00212,Had to follow up twice to get my meter reading corrected.,3
C00212,I am done. Switching to a competitor as soon as possible. Nightmare.,3
C00212,Account change was processed but took a few extra days.,5
C00213,Service is generally okay. Had a minor billing discrepancy last month.,3
C00213,Technician arrived on time but the fix took longer than expected.,3
C00213,I am absolutely furious — my bill doubled for no reason and no one can explain it.,5
C00213,My outage has been going on for 5 days and no one cares. Disgusting.,3
C00214,The outage was resolved. It would have been nice to get a notification.,1
C00214,"Quick and helpful customer service, thank you!",2
C00215,Unresponsive support and endless hold times. Absolutely awful.,3
C00215,Had to follow up twice to get my meter reading corrected.,3
C00215,Account change was processed but took a few extra days.,5
C00215,This is the worst experience I have ever had. Planning to switch provider immediately.,4
C00215,Nothing special to report. Service has been average.,4
C00216,My billing issue was resolved within hours. Highly recommend.,1
C00216,My billing issue was resolved within hours. Highly recommend.,2
C00217,Billing seems correct this month. Last month there was a small issue.,2
C00218,"Quick and helpful customer service, thank you!",1
C00220,Service interruption was brief. Would like better communication next time.,3
C00220,"Excellent response time, I am very satisfied.",2
C00221,"Excellent response time, I am very satisfied.",3
C00221,The support person was polite but couldn't fully resolve my issue.,3
C00224,"Quick and helpful customer service, thank you!",3
C00224,No major problems but the website is a bit slow.,1
C00226,"Love the online portal, makes managing my account super easy.",3
C00226,The support person was polite but couldn't fully resolve my issue.,3
C00227,"Outstanding service quality, no issues whatsoever.",3
C00229,The outage was resolved. It would have been nice to get a notification.,3
C00229,My billing issue was resolved within hours. Highly recommend.,2
C00230,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",4
C00230,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",5
C00230,I am done. Switching to a competitor as soon as possible. Nightmare.,5
C00230,My outage has been going on for 5 days and no one cares. Disgusting.,4
C00230,Had to follow up twice to get my meter reading corrected.,5
C00230,Unresponsive support and endless hold times. Absolutely awful.,5
C00232,My service was cut off without warning. I demand an explanation.,5
C00232,The outage was resolved. It would have been nice to get a notification.,3
C00232,The technician never showed up. I took a day off work for nothing.,3
C00232,Billing seems correct this month. Last month there was a small issue.,4
C00232,Billing errors again! Third month in a row. Completely incompetent.,5
C00234,"Outstanding service quality, no issues whatsoever.",1
C00235,Unresponsive support and endless hold times. Absolutely awful.,2
C00236,Technician arrived on time but the fix took longer than expected.,3
C00236,The support team was extremely helpful and resolved my issue quickly.,2
C00237,Unresponsive support and endless hold times. Absolutely awful.,5
C00237,I am done. Switching to a competitor as soon as possible. Nightmare.,5
C00237,Unresponsive support and endless hold times. Absolutely awful.,3
C00237,The technician never showed up. I took a day off work for nothing.,4
C00238,I have called 7 times and nobody fixes the problem. I want to cancel my account.,5
C00238,The support person was polite but couldn't fully resolve my issue.,5
C00238,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",5
C00238,This is the worst experience I have ever had. Planning to switch provider immediately.,4
C00239,This is the worst experience I have ever had. Planning to switch provider immediately.,1
C00241,Billing seems correct this month. Last month there was a small issue.,3
C00241,My billing issue was resolved within hours. Highly recommend.,2
C00243,This is the worst experience I have ever had. Planning to switch provider immediately.,4
C00243,The outage was resolved. It would have been nice to get a notification.,5
C00243,Service interruption was brief. Would like better communication next time.,5
C00243,I have called 7 times and nobody fixes the problem. I want to cancel my account.,4
C00244,Had to follow up twice to get my meter reading corrected.,5
C00244,The outage was resolved. It would have been nice to get a notification.,5
C00244,My service was cut off without warning. I demand an explanation.,5
C00244,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",4
C00246,Had to follow up twice to get my meter reading corrected.,2
C00246,"Very happy with the service, everything works great.",2
C00247,Nothing special to report. Service has been average.,2
C00247,The outage was resolved. It would have been nice to get a notification.,1
C00248,Nothing special to report. Service has been average.,4
C00248,I am done. Switching to a competitor as soon as possible. Nightmare.,5
C00248,Unresponsive support and endless hold times. Absolutely awful.,3
C00249,"Outstanding service quality, no issues whatsoever.",2
C00249,The outage was resolved. It would have been nice to get a notification.,2
C00250,The support team was extremely helpful and resolved my issue quickly.,1
C00251,"Very happy with the service, everything works great.",1
C00251,My outage has been going on for 5 days and no one cares. Disgusting.,2
C00252,The new meter reading service is fantastic.,2
C00252,"Great experience, the technician was professional and efficient.",3
C00253,Account change was processed but took a few extra days.,1
C00253,Service is generally okay. Had a minor billing discrepancy last month.,1
C00254,The new meter reading service is fantastic.,3
C00254,Unresponsive support and endless hold times. Absolutely awful.,2
C00255,"Very happy with the service, everything works great.",1
C00257,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",1
C00258,The technician never showed up. I took a day off work for nothing.,1
C00260,Billing errors again! Third month in a row. Completely incompetent.,2
C00260,I am done. Switching to a competitor as soon as possible. Nightmare.,1
C00261,Very pleased with the resolution. Great team.,3
C00261,The support team was extremely helpful and resolved my issue quickly.,1
C00262,I have called 7 times and nobody fixes the problem. I want to cancel my account.,1
C00262,Account change was processed but took a few extra days.,2
C00263,"Love the online portal, makes managing my account super easy.",3
C00264,I am absolutely furious — my bill doubled for no reason and no one can explain it.,3
C00264,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",4
C00264,My outage has been going on for 5 days and no one cares. Disgusting.,3
C00266,Billing errors again! Third month in a row. Completely incompetent.,3
C00266,Billing errors again! Third month in a row. Completely incompetent.,4
C00266,Technician arrived on time but the fix took longer than expected.,4
C00266,Service is generally okay. Had a minor billing discrepancy last month.,3
C00267,The new meter reading service is fantastic.,3
C00267,Had to follow up twice to get my meter reading corrected.,2
C00268,Account change was processed but took a few extra days.,1
C00268,I am absolutely furious — my bill doubled for no reason and no one can explain it.,1
C00269,This is the worst experience I have ever had. Planning to switch provider immediately.,2
C00269,No major problems but the website is a bit slow.,2
C00270,"Great experience, the technician was professional and efficient.",1
C00270,Service is generally okay. Had a minor billing discrepancy last month.,1
C00271,The support team was extremely helpful and resolved my issue quickly.,1
C00271,"Very happy with the service, everything works great.",3
C00272,Very pleased with the resolution. Great team.,3
