cust_id,date_of_complaint,issue_type,feedback_text,priority_level,days_to_resolve,is_escalated,is_resolved
C00041,2024-12-28,Meter Reading,This is the worst experience I have ever had. Planning to switch provider immediately.,5,17,0,1
C00041,2022-07-27,Technical,Service interruption was brief. Would like better communication next time.,4,10,0,0
C00041,2023-02-03,Service Quality,My outage has been going on for 5 days and no one cares. Disgusting.,3,7,1,1
C00042,2024-11-11,Technical,The new meter reading service is fantastic.,1,5,0,1
C00043,2023-07-18,Technical,My service was cut off without warning. I demand an explanation.,4,25,0,1
C00043,2024-02-26,Service Quality,My service was cut off without warning. I demand an explanation.,4,10,0,1
C00043,2023-07-01,Technical,Technician arrived on time but the fix took longer than expected.,5,12,0,1
C00043,2023-08-20,Meter Reading,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",5,29,0,1
C00043,2023-04-21,Billing,My outage has been going on for 5 days and no one cares. Disgusting.,4,26,1,0
C00043,2024-09-13,Billing,Service interruption was brief. Would like better communication next time.,5,14,0,0
C00044,2023-01-23,Meter Reading,The new meter reading service is fantastic.,2,4,0,1
C00044,2022-07-25,Technical,No major problems but the website is a bit slow.,1,5,0,1
C00047,2024-10-23,Billing,This is the worst experience I have ever had. Planning to switch provider immediately.,4,14,0,0
C00047,2024-03-13,Account Management,The technician never showed up. I took a day off work for nothing.,4,9,1,1
C00047,2024-01-26,Meter Reading,I have called 7 times and nobody fixes the problem. I want to cancel my account.,3,8,1,1
C00049,2024-01-18,Account Management,The technician never showed up. I took a day off work for nothing.,3,7,0,1
C00049,2022-03-08,Technical,I am done. Switching to a competitor as soon as possible. Nightmare.,4,22,1,0
C00049,2024-04-19,Outage,Billing errors again! Third month in a row. Completely incompetent.,5,28,1,1
C00049,2023-05-08,Account Management,Had to follow up twice to get my meter reading corrected.,5,26,0,1
C00049,2023-06-22,Service Quality,This is the worst experience I have ever had. Planning to switch provider immediately.,5,14,1,1
C00049,2024-05-22,Service Quality,My outage has been going on for 5 days and no one cares. Disgusting.,3,5,1,0
C00050,2023-09-06,Outage,The new meter reading service is fantastic.,2,1,0,1
C00051,2022-09-05,Meter Reading,"Quick and helpful customer service, thank you!",2,5,0,1
C00051,2024-02-05,Meter Reading,The support person was polite but couldn't fully resolve my issue.,1,2,1,1
C00052,2024-08-11,Service Quality,My service was cut off without warning. I demand an explanation.,1,5,0,0
C00053,2023-10-28,Technical,The support team was extremely helpful and resolved my issue quickly.,1,7,0,1
C00053,2023-09-21,Service Quality,The support team was extremely helpful and resolved my issue quickly.,3,4,0,1
C00054,2022-01-26,Outage,Service interruption was brief. Would like better communication next time.,3,25,0,0
C00054,2022-07-02,Technical,The support person was polite but couldn't fully resolve my issue.,3,23,0,0
C00054,2022-11-12,Billing,The technician never showed up. I took a day off work for nothing.,4,20,1,1
C00054,2023-11-04,Outage,This is the worst experience I have ever had. Planning to switch provider immediately.,5,24,0,1
C00054,2022-06-21,Account Management,The support person was polite but couldn't fully resolve my issue.,3,26,0,1
C00054,2023-07-21,Service Quality,Service is generally okay. Had a minor billing discrepancy last month.,3,9,1,0
C00055,2024-04-21,Account Management,"Quick and helpful customer service, thank you!",2,0,0,1
C00055,2022-10-10,Outage,This is the worst experience I have ever had. Planning to switch provider immediately.,2,5,0,1
C00056,2023-01-06,Meter Reading,My service was cut off without warning. I demand an explanation.,5,24,0,1
C00056,2024-12-07,Account Management,The technician never showed up. I took a day off work for nothing.,3,22,0,1
C00056,2022-09-05,Billing,Nothing special to report. Service has been average.,3,18,0,0
C00056,2023-05-07,Service Quality,Billing seems correct this month. Last month there was a small issue.,4,8,0,1
C00056,2022-02-17,Technical,Had to follow up twice to get my meter reading corrected.,5,14,1,1
C00056,2023-06-25,Billing,Service interruption was brief. Would like better communication next time.,3,13,1,0
C00057,2022-04-11,Service Quality,Very pleased with the resolution. Great team.,3,0,0,1
C00057,2024-05-18,Account Management,I have called 7 times and nobody fixes the problem. I want to cancel my account.,1,4,0,1
C00058,2022-01-18,Outage,Billing errors again! Third month in a row. Completely incompetent.,1,6,0,0
C00059,2024-07-02,Outage,"Quick and helpful customer service, thank you!",1,3,0,1
C00059,2024-01-11,Outage,The technician never showed up. I took a day off work for nothing.,3,0,0,1
C00060,2024-10-24,Billing,My billing issue was resolved within hours. Highly recommend.,2,2,0,1
C00060,2023-09-07,Outage,My billing issue was resolved within hours. Highly recommend.,2,5,0,1
C00062,2022-09-14,Service Quality,My outage has been going on for 5 days and no one cares. Disgusting.,3,5,1,1
C00062,2024-03-17,Service Quality,The outage was resolved. It would have been nice to get a notification.,2,5,0,1
C00064,2024-11-07,Outage,Account change was processed but took a few extra days.,2,7,0,1
C00065,2022-02-02,Meter Reading,Nothing special to report. Service has been average.,5,28,0,1
C00065,2023-03-09,Meter Reading,This is the worst experience I have ever had. Planning to switch provider immediately.,3,7,1,1
C00065,2023-05-18,Account Management,My outage has been going on for 5 days and no one cares. Disgusting.,5,22,0,0
C00065,2022-05-06,Meter Reading,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",5,10,0,1
C00065,2024-06-04,Service Quality,No major problems but the website is a bit slow.,3,8,0,0
C00065,2024-05-13,Meter Reading,This is the worst experience I have ever had. Planning to switch provider immediately.,5,20,0,0
C00066,2022-11-22,Billing,Unresponsive support and endless hold times. Absolutely awful.,2,4,0,1
C00066,2023-04-18,Outage,"Very happy with the service, everything works great.",2,1,0,1
C00067,2024-03-23,Account Management,The support team was extremely helpful and resolved my issue quickly.,3,6,0,1
C00067,2023-05-12,Service Quality,"Love the online portal, makes managing my account super easy.",1,4,0,1
C00068,2023-04-23,Billing,Had to follow up twice to get my meter reading corrected.,4,13,1,1
C00068,2023-03-11,Meter Reading,The outage was resolved. It would have been nice to get a notification.,5,23,1,0
C00068,2024-07-09,Service Quality,My outage has been going on for 5 days and no one cares. Disgusting.,3,11,0,0
C00069,2023-02-17,Technical,Had to follow up twice to get my meter reading corrected.,3,5,0,1
C00069,2022-10-01,Meter Reading,Technician arrived on time but the fix took longer than expected.,1,0,0,1
C00070,2023-08-03,Account Management,Service interruption was brief. Would like better communication next time.,2,5,1,1
C00070,2023-07-03,Service Quality,Nothing special to report. Service has been average.,2,7,0,1
C00072,2022-06-19,Service Quality,Technician arrived on time but the fix took longer than expected.,2,4,0,1
C00073,2022-08-04,Outage,Billing errors again! Third month in a row. Completely incompetent.,4,23,1,1
C00073,2022-06-14,Meter Reading,My outage has been going on for 5 days and no one cares. Disgusting.,3,25,0,1
C00073,2024-12-02,Billing,Nothing special to report. Service has been average.,3,9,0,0
C00073,2024-09-17,Billing,The outage was resolved. It would have been nice to get a notification.,4,26,1,0
C00075,2024-12-12,Billing,Had to follow up twice to get my meter reading corrected.,3,4,0,1
C00076,2023-09-15,Outage,Had to follow up twice to get my meter reading corrected.,5,15,0,0
C00076,2023-06-01,Billing,My service was cut off without warning. I demand an explanation.,3,16,0,1
C00076,2024-10-08,Service Quality,This is the worst experience I have ever had. Planning to switch provider immediately.,5,11,1,1
C00077,2022-10-16,Billing,I have called 7 times and nobody fixes the problem. I want to cancel my account.,4,12,0,1
C00077,2022-06-09,Account Management,My outage has been going on for 5 days and no one cares. Disgusting.,5,21,0,0
C00077,2024-10-07,Billing,My outage has been going on for 5 days and no one cares. Disgusting.,5,20,1,0
C00077,2024-07-27,Account Management,Billing seems correct this month. Last month there was a small issue.,5,20,1,0
C00079,2024-02-16,Outage,Service is generally okay. Had a minor billing discrepancy last month.,2,2,0,1
C00080,2022-07-03,Technical,The technician never showed up. I took a day off work for nothing.,3,18,0,0
C00080,2024-06-25,Billing,I have called 7 times and nobody fixes the problem. I want to cancel my account.,3,8,1,0
C00080,2023-11-14,Billing,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",5,27,1,0
C00080,2022-04-08,Account Management,Had to follow up twice to get my meter reading corrected.,4,19,1,1
C00080,2024-02-26,Billing,The technician never showed up. I took a day off work for nothing.,3,14,0,0
C00081,2024-01-28,Account Management,I am absolutely furious — my bill doubled for no reason and no one can explain it.,2,1,1,1
C00082,2024-04-24,Meter Reading,Had to follow up twice to get my meter reading corrected.,3,4,0,1
C00083,2024-06-14,Billing,"Excellent response time, I am very satisfied.",2,7,0,1
C00083,2023-05-09,Outage,No major problems but the website is a bit slow.,2,5,0,1
C00085,2024-05-01,Meter Reading,Nothing special to report. Service has been average.,1,0,0,1
C00086,2024-09-21,Service Quality,My billing issue was resolved within hours. Highly recommend.,3,4,0,1
C00086,2024-05-03,Meter Reading,Service interruption was brief. Would like better communication next time.,2,3,0,1
C00087,2022-08-14,Service Quality,I am absolutely furious — my bill doubled for no reason and no one can explain it.,5,29,0,1
C00087,2023-02-10,Outage,I have called 7 times and nobody fixes the problem. I want to cancel my account.,3,27,1,1
C00087,2023-12-13,Billing,Nothing special to report. Service has been average.,4,9,0,0
C00087,2023-09-19,Account Management,Billing seems correct this month. Last month there was a small issue.,4,16,1,1
C00088,2023-10-22,Outage,"Outstanding service quality, no issues whatsoever.",1,0,0,1
C00088,2022-03-14,Service Quality,The technician never showed up. I took a day off work for nothing.,2,7,1,1
C00089,2023-01-03,Billing,"Quick and helpful customer service, thank you!",3,3,1,1
C00089,2024-02-04,Outage,My outage has been going on for 5 days and no one cares. Disgusting.,3,5,0,1
C00090,2024-06-02,Service Quality,Unresponsive support and endless hold times. Absolutely awful.,3,17,1,1
C00090,2023-08-21,Service Quality,My service was cut off without warning. I demand an explanation.,4,15,1,0
C00090,2022-10-11,Meter Reading,Had to follow up twice to get my meter reading corrected.,3,6,0,1
C00090,2022-11-14,Outage,Nothing special to report. Service has been average.,3,5,1,0
C00090,2024-12-06,Outage,The outage was resolved. It would have been nice to get a notification.,5,13,1,0
C00092,2024-12-20,Service Quality,The technician never showed up. I took a day off work for nothing.,5,5,0,1
C00092,2023-10-11,Account Management,Had to follow up twice to get my meter reading corrected.,5,17,0,1
C00092,2024-03-02,Outage,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",4,20,0,1
C00092,2023-10-07,Meter Reading,My outage has been going on for 5 days and no one cares. Disgusting.,3,20,1,0
C00093,2022-11-04,Outage,I am absolutely furious — my bill doubled for no reason and no one can explain it.,1,3,0,0
C00094,2024-05-03,Outage,My outage has been going on for 5 days and no one cares. Disgusting.,2,2,0,1
C00095,2023-10-07,Outage,The support person was polite but couldn't fully resolve my issue.,2,6,0,1
C00096,2022-12-07,Billing,I am done. Switching to a competitor as soon as possible. Nightmare.,4,26,1,0
C00096,2022-12-06,Service Quality,I have called 7 times and nobody fixes the problem. I want to cancel my account.,3,6,1,1
C00096,2024-08-11,Account Management,This is the worst experience I have ever had. Planning to switch provider immediately.,3,12,0,1
C00096,2024-07-24,Billing,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",5,17,0,0
C00096,2023-03-05,Technical,Unresponsive support and endless hold times. Absolutely awful.,5,29,0,1
C00097,2024-04-18,Outage,"Great experience, the technician was professional and efficient.",1,3,0,1
C00100,2022-12-14,Technical,I am done. Switching to a competitor as soon as possible. Nightmare.,3,0,1,0
C00100,2022-11-06,Technical,The support team was extremely helpful and resolved my issue quickly.,1,3,0,1
C00101,2024-01-27,Meter Reading,"Quick and helpful customer service, thank you!",3,3,0,1
C00101,2024-07-22,Meter Reading,The new meter reading service is fantastic.,2,0,0,1
C00102,2023-10-03,Technical,I am done. Switching to a competitor as soon as possible. Nightmare.,3,29,0,1
C00102,2023-08-27,Outage,The outage was resolved. It would have been nice to get a notification.,5,27,0,1
C00102,2022-02-08,Outage,I have called 7 times and nobody fixes the problem. I want to cancel my account.,3,18,1,1
C00102,2023-09-24,Account Management,I have called 7 times and nobody fixes the problem. I want to cancel my account.,3,26,0,0
C00102,2024-06-08,Technical,Billing errors again! Third month in a row. Completely incompetent.,5,24,1,1
C00103,2022-04-20,Service Quality,"Very happy with the service, everything works great.",3,2,0,1
C00103,2022-02-28,Meter Reading,"Outstanding service quality, no issues whatsoever.",1,2,0,1
C00104,2023-09-13,Billing,"Quick and helpful customer service, thank you!",1,0,0,1
C00105,2024-08-24,Account Management,Billing seems correct this month. Last month there was a small issue.,3,7,0,1
C00108,2023-07-20,Meter Reading,Nothing special to report. Service has been average.,4,16,0,0
C00108,2024-12-28,Meter Reading,Account change was processed but took a few extra days.,4,5,0,0
C00108,2022-08-02,Service Quality,Account change was processed but took a few extra days.,4,13,0,1
C00110,2024-06-06,Service Quality,Nothing special to report. Service has been average.,2,6,0,1
C00110,2023-12-07,Account Management,Account change was processed but took a few extra days.,3,7,0,1
C00112,2023-05-07,Meter Reading,The new meter reading service is fantastic.,3,6,0,1
C00112,2023-10-15,Account Management,Very pleased with the resolution. Great team.,1,5,0,1
C00114,2023-02-26,Billing,The support team was extremely helpful and resolved my issue quickly.,3,2,0,1
C00115,2024-06-03,Account Management,The technician never showed up. I took a day off work for nothing.,3,14,0,1
C00115,2022-01-16,Outage,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",3,28,0,0
C00115,2024-03-08,Billing,This is the worst experience I have ever had. Planning to switch provider immediately.,4,17,1,1
C00115,2022-05-02,Meter Reading,This is the worst experience I have ever had. Planning to switch provider immediately.,3,25,0,0
C00115,2022-05-21,Technical,Service is generally okay. Had a minor billing discrepancy last month.,5,5,1,0
C00117,2024-02-05,Outage,My outage has been going on for 5 days and no one cares. Disgusting.,4,7,0,0
C00117,2023-04-21,Billing,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",4,26,0,1
C00117,2023-01-11,Outage,Service interruption was brief. Would like better communication next time.,4,9,0,1
C00121,2022-08-02,Account Management,Technician arrived on time but the fix took longer than expected.,3,3,0,1
C00123,2023-09-21,Outage,Unresponsive support and endless hold times. Absolutely awful.,2,2,1,1
C00123,2022-01-27,Account Management,"Excellent response time, I am very satisfied.",2,4,0,1
C00124,2024-11-09,Outage,Very pleased with the resolution. Great team.,2,7,0,1
C00127,2024-11-06,Billing,Service interruption was brief. Would like better communication next time.,3,5,0,1
C00129,2022-04-09,Billing,I have called 7 times and nobody fixes the problem. I want to cancel my account.,2,0,0,1
C00129,2024-11-14,Service Quality,"Quick and helpful customer service, thank you!",3,5,1,1
C00131,2023-07-28,Meter Reading,Billing seems correct this month. Last month there was a small issue.,3,2,0,1
C00132,2024-01-10,Meter Reading,Billing errors again! Third month in a row. Completely incompetent.,2,3,0,0
C00132,2024-02-28,Meter Reading,The support person was polite but couldn't fully resolve my issue.,2,5,0,1
C00133,2024-02-14,Technical,"Excellent response time, I am very satisfied.",3,0,1,1
C00134,2024-06-22,Meter Reading,Billing seems correct this month. Last month there was a small issue.,2,1,0,0
C00136,2023-04-16,Meter Reading,"Great experience, the technician was professional and efficient.",1,2,0,1
C00136,2023-10-18,Meter Reading,"Love the online portal, makes managing my account super easy.",2,3,0,1
C00139,2023-01-04,Service Quality,I am done. Switching to a competitor as soon as possible. Nightmare.,3,27,0,1
C00139,2024-10-04,Outage,Account change was processed but took a few extra days.,4,26,0,1
C00139,2022-11-12,Service Quality,Nothing special to report. Service has been average.,5,12,1,1
C00139,2023-04-22,Technical,This is the worst experience I have ever had. Planning to switch provider immediately.,3,6,1,0
C00140,2022-05-15,Account Management,Unresponsive support and endless hold times. Absolutely awful.,5,9,0,1
C00140,2022-08-28,Billing,My service was cut off without warning. I demand an explanation.,3,15,0,1
C00140,2023-01-21,Outage,The support person was polite but couldn't fully resolve my issue.,4,7,1,1
C00140,2024-09-22,Technical,This is the worst experience I have ever had. Planning to switch provider immediately.,3,12,0,1
C00140,2022-12-25,Billing,My service was cut off without warning. I demand an explanation.,5,28,0,0
C00141,2024-02-25,Service Quality,"Very happy with the service, everything works great.",2,7,0,1
C00142,2024-12-20,Technical,My outage has been going on for 5 days and no one cares. Disgusting.,3,11,1,0
C00142,2023-04-11,Meter Reading,Service is generally okay. Had a minor billing discrepancy last month.,5,23,1,0
C00142,2022-08-21,Service Quality,Account change was processed but took a few extra days.,4,19,0,1
C00142,2022-06-25,Billing,Service is generally okay. Had a minor billing discrepancy last month.,4,24,0,1
C00142,2022-10-12,Outage,I am done. Switching to a competitor as soon as possible. Nightmare.,4,22,0,1
C00143,2023-09-04,Technical,"Outstanding service quality, no issues whatsoever.",3,4,0,1
C00145,2023-11-26,Service Quality,The support team was extremely helpful and resolved my issue quickly.,1,0,0,1
C00145,2023-11-18,Technical,Very pleased with the resolution. Great team.,3,6,0,1
C00146,2024-05-01,Account Management,The support person was polite but couldn't fully resolve my issue.,3,6,0,1
C00146,2024-08-28,Technical,The outage was resolved. It would have been nice to get a notification.,3,1,0,1
C00147,2024-07-07,Service Quality,I have called 7 times and nobody fixes the problem. I want to cancel my account.,3,12,1,1
C00147,2023-04-19,Meter Reading,The technician never showed up. I took a day off work for nothing.,3,25,1,0
C00147,2023-06-05,Service Quality,Billing seems correct this month. Last month there was a small issue.,5,8,0,1
C00147,2024-03-27,Outage,No major problems but the website is a bit slow.,3,5,0,1
C00147,2023-11-02,Meter Reading,I have called 7 times and nobody fixes the problem. I want to cancel my account.,4,13,1,1
C00147,2023-04-02,Account Management,Unresponsive support and endless hold times. Absolutely awful.,4,16,0,0
C00148,2022-07-03,Billing,Nothing special to report. Service has been average.,4,8,1,1
C00148,2022-10-28,Technical,No major problems but the website is a bit slow.,5,28,0,0
C00148,2022-04-06,Account Management,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",5,21,1,1
C00148,2024-12-06,Service Quality,My outage has been going on for 5 days and no one cares. Disgusting.,3,17,0,0
C00148,2024-03-10,Service Quality,This is the worst experience I have ever had. Planning to switch provider immediately.,3,23,0,1
C00149,2024-09-21,Billing,I am done. Switching to a competitor as soon as possible. Nightmare.,3,11,1,0
C00149,2024-01-04,Meter Reading,This is the worst experience I have ever had. Planning to switch provider immediately.,3,8,1,0
C00149,2024-05-13,Account Management,No major problems but the website is a bit slow.,5,11,0,0
C00149,2024-12-04,Service Quality,The technician never showed up. I took a day off work for nothing.,3,22,0,1
C00150,2022-07-13,Meter Reading,No major problems but the website is a bit slow.,1,1,0,1
C00150,2023-01-15,Service Quality,I am done. Switching to a competitor as soon as possible. Nightmare.,1,0,0,1
C00152,2024-12-23,Account Management,No major problems but the website is a bit slow.,1,1,0,1
C00152,2023-01-10,Technical,The new meter reading service is fantastic.,2,4,0,1
C00154,2022-10-05,Billing,This is the worst experience I have ever had. Planning to switch provider immediately.,1,7,0,1
C00154,2023-11-11,Technical,Nothing special to report. Service has been average.,2,1,0,1
C00155,2022-11-21,Meter Reading,Service is generally okay. Had a minor billing discrepancy last month.,4,21,0,1
C00155,2022-10-22,Technical,This is the worst experience I have ever had. Planning to switch provider immediately.,3,20,1,1
C00155,2024-07-22,Outage,Technician arrived on time but the fix took longer than expected.,4,7,0,1
C00156,2024-06-13,Service Quality,"Very happy with the service, everything works great.",3,2,0,1
C00156,2022-05-10,Billing,The support team was extremely helpful and resolved my issue quickly.,3,2,0,1
C00157,2022-11-09,Meter Reading,Technician arrived on time but the fix took longer than expected.,4,16,0,1
C00157,2023-01-28,Outage,My service was cut off without warning. I demand an explanation.,3,12,1,1
C00157,2024-08-26,Service Quality,My service was cut off without warning. I demand an explanation.,4,11,0,1
C00157,2024-08-17,Meter Reading,I have called 7 times and nobody fixes the problem. I want to cancel my account.,4,27,1,0
C00157,2022-04-15,Technical,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",3,16,0,0
C00158,2023-01-08,Outage,Had to follow up twice to get my meter reading corrected.,1,0,0,1
C00159,2023-12-21,Outage,Service interruption was brief. Would like better communication next time.,1,2,0,1
C00159,2022-02-15,Service Quality,The new meter reading service is fantastic.,1,3,0,1
C00160,2023-07-04,Meter Reading,My billing issue was resolved within hours. Highly recommend.,3,3,0,1
C00160,2023-07-05,Meter Reading,"Love the online portal, makes managing my account super easy.",1,3,1,1
C00161,2023-04-15,Meter Reading,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",1,3,0,1
C00161,2024-11-26,Technical,"Great experience, the technician was professional and efficient.",2,4,0,1
C00162,2024-02-04,Account Management,My billing issue was resolved within hours. Highly recommend.,1,5,0,1
C00162,2024-11-01,Outage,"Excellent response time, I am very satisfied.",1,3,0,1
C00164,2023-01-24,Outage,Unresponsive support and endless hold times. Absolutely awful.,3,9,0,0
C00164,2023-07-11,Account Management,My service was cut off without warning. I demand an explanation.,3,25,0,0
C00164,2023-12-15,Account Management,Billing seems correct this month. Last month there was a small issue.,5,10,1,0
C00164,2023-07-12,Meter Reading,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",4,5,1,1
C00164,2023-06-25,Account Management,The technician never showed up. I took a day off work for nothing.,4,12,0,0
C00165,2024-03-26,Technical,Billing errors again! Third month in a row. Completely incompetent.,5,12,0,0
C00165,2024-09-07,Service Quality,I am absolutely furious — my bill doubled for no reason and no one can explain it.,3,19,0,0
C00165,2024-02-12,Account Management,My service was cut off without warning. I demand an explanation.,3,26,0,0
C00167,2023-03-18,Account Management,Billing errors again! Third month in a row. Completely incompetent.,1,0,0,1
C00168,2022-08-26,Technical,The technician never showed up. I took a day off work for nothing.,3,25,1,1
C00168,2024-06-20,Meter Reading,I am done. Switching to a competitor as soon as possible. Nightmare.,4,5,1,0
C00168,2023-08-13,Outage,Nothing special to report. Service has been average.,5,10,0,0
C00168,2022-08-24,Technical,Billing errors again! Third month in a row. Completely incompetent.,3,22,0,1
C00169,2024-12-06,Technical,I am absolutely furious — my bill doubled for no reason and no one can explain it.,3,5,0,1
