cust_id,date_of_complaint,issue_type,feedback_text,priority_level,days_to_resolve,is_escalated,is_resolved
C00016,2022-11-23,Technical,The rate increase was not communicated clearly and came as a surprise.,3,15,0,0
C00017,2024-12-15,Account Management,The online chat bot could not help me and I had to call anyway.,3,12,1,1
C00017,2024-07-10,Technical,The customer service agent I spoke to was not very helpful.,3,16,0,0
C00018,2022-11-02,Technical,I have been trying to get this resolved for two weeks now.,3,19,1,1
C00018,2023-06-04,Service Quality,The level of service I am receiving is completely unacceptable.,4,15,1,1
C00020,2023-12-17,Outage,The technician did not show up at the agreed time without any notice.,3,6,1,1
C00021,2024-09-27,Outage,This is the third billing error in a row. I am losing patience.,4,8,1,0
C00021,2024-03-04,Outage,I took a day off work for the technician and nobody came.,4,6,1,1
C00021,2024-10-10,Technical,I waited longer than usual for a callback but it came eventually.,2,2,0,1
C00022,2022-10-28,Meter Reading,I am not satisfied with how my previous complaint was handled.,3,15,1,0
C00023,2023-08-27,Account Management,Quick question about the new tariff letter I received.,1,1,0,0
C00024,2024-12-26,Account Management,I waited longer than usual for a callback but it came eventually.,2,5,0,1
C00024,2022-03-18,Billing,I have escalated this complaint twice and it is still not resolved.,4,9,0,1
C00025,2022-08-28,Technical,Just checking when my next meter read is scheduled.,1,3,0,1
C00026,2022-09-14,Outage,I waited longer than usual for a callback but it came eventually.,2,8,0,0
C00026,2024-08-04,Technical,The online chat bot could not help me and I had to call anyway.,3,6,0,0
C00027,2023-04-23,Technical,This is the third billing error in a row. I am losing patience.,4,10,0,1
C00027,2024-04-03,Outage,I would like to check my current balance please.,1,1,0,1
C00027,2024-04-04,Outage,The technician arrived a bit late but did a good job.,2,5,1,0
C00028,2024-11-13,Billing,Response time was a bit slower than last time I called.,2,12,0,0
C00028,2022-07-23,Technical,I feel like loyal customers are not being valued the way they should be.,3,3,0,1
C00028,2022-11-16,Meter Reading,I have been waiting over a week for someone to call me back.,3,2,0,1
C00029,2024-08-16,Outage,The website was slow when I tried to log in yesterday.,2,9,0,1
C00029,2024-12-27,Billing,I need to change my contact phone number on the account.,1,5,0,1
C00029,2024-01-05,Billing,My bill has errors and I have had to call twice about the same issue.,3,1,1,0
C00030,2023-05-20,Technical,I am very unhappy with the service. My complaint from last month is still open.,4,1,0,0
C00031,2024-03-21,Billing,My power has been out for two days and nobody has given me an update.,4,8,1,1
C00032,2023-11-14,Technical,I have escalated this complaint twice and it is still not resolved.,4,7,1,0
C00032,2023-11-09,Billing,I was treated rudely on my last call and I want this addressed.,4,18,1,1
C00032,2023-11-01,Billing,I am very unhappy with the service. My complaint from last month is still open.,4,9,0,1
C00032,2023-02-12,Account Management,Nobody in your company seems to take responsibility for anything.,4,15,0,1
C00032,2023-09-19,Account Management,I am considering switching providers if this is not fixed immediately.,4,19,1,0
C00032,2023-05-25,Technical,I would like to check my current balance please.,1,1,0,1
C00032,2023-01-22,Outage,The technician did not show up at the agreed time without any notice.,3,4,0,0
C00032,2024-06-21,Outage,I am going to leave a public review warning everyone about this company.,5,2,1,0
C00032,2023-10-04,Service Quality,I waited longer than usual for a callback but it came eventually.,2,12,0,1
C00033,2023-07-05,Outage,My account was charged incorrectly and I am still waiting for a credit.,3,18,1,0
C00033,2024-07-22,Technical,I took a day off work for the technician and nobody came.,4,8,0,1
C00033,2024-05-07,Meter Reading,I want to cancel my account. I have had enough of this terrible service.,5,28,1,0
C00035,2024-09-02,Account Management,The rate increase was not communicated clearly and came as a surprise.,3,17,0,1
C00035,2024-10-26,Billing,Nobody in your company seems to take responsibility for anything.,4,11,0,1
C00035,2024-12-26,Billing,I have been waiting over a week for someone to call me back.,3,16,0,0
C00035,2024-10-25,Meter Reading,I would like to check my current balance please.,1,1,0,1
C00036,2024-12-10,Billing,Your company has overcharged me for months and nobody will fix it.,5,12,0,0
C00036,2023-10-06,Outage,"Everything is fine, just updating my details.",1,4,0,1
C00037,2022-06-06,Billing,The technician did not show up at the agreed time without any notice.,3,6,1,0
C00037,2022-12-12,Billing,The technician arrived a bit late but did a good job.,2,5,0,0
C00038,2023-07-07,Outage,The technician arrived a bit late but did a good job.,2,2,0,0
C00039,2022-09-19,Technical,The customer service agent I spoke to was not very helpful.,3,13,0,0
C00039,2024-09-01,Account Management,My account was charged incorrectly and I am still waiting for a credit.,3,2,0,1
C00039,2024-06-26,Technical,The rate increase was not communicated clearly and came as a surprise.,3,6,1,1
C00040,2022-10-23,Account Management,Response time was a bit slower than last time I called.,2,14,0,0
C00041,2024-04-24,Outage,My bill has errors and I have had to call twice about the same issue.,3,8,0,1
C00041,2024-06-04,Billing,The technician did not show up at the agreed time without any notice.,3,8,0,0
C00041,2023-09-21,Billing,I am not satisfied with how my previous complaint was handled.,3,17,1,1
C00042,2024-02-19,Service Quality,Just checking when my next meter read is scheduled.,1,2,0,1
C00042,2024-12-16,Meter Reading,This is absolutely disgraceful. I am filing a formal complaint with the regulator.,5,11,1,1
C00042,2022-09-25,Billing,I am considering switching providers if this is not fixed immediately.,4,20,1,1
C00042,2023-10-15,Billing,I am contacting my lawyer. This is negligent and completely unacceptable.,5,5,1,0
C00043,2024-02-18,Meter Reading,My bill was slightly higher than I expected this month.,2,6,1,1
C00043,2023-02-15,Technical,I took a day off work for the technician and nobody came.,4,21,0,1
C00043,2024-01-22,Meter Reading,"Three technicians, three no-shows. I have lost my patience entirely.",5,7,1,0
C00043,2022-12-15,Meter Reading,"There was a small discrepancy on my statement, now resolved.",2,9,0,0
C00043,2023-09-20,Account Management,I have been without power for five days and your team does not care at all.,5,8,1,0
C00043,2024-01-03,Technical,I need to change my contact phone number on the account.,1,9,0,0
C00044,2024-01-10,Meter Reading,I had trouble navigating the new online portal at first.,2,6,0,1
C00044,2024-01-08,Service Quality,The rate increase was not communicated clearly and came as a surprise.,3,5,1,1
C00046,2023-07-20,Service Quality,I would like to check my current balance please.,1,9,0,1
C00046,2023-02-01,Account Management,The email confirmation for my account change took two days to arrive.,2,12,0,1
C00046,2024-06-13,Service Quality,Can you confirm my direct debit amount?,1,3,0,1
C00047,2022-12-06,Billing,This is the third billing error in a row. I am losing patience.,4,10,1,0
C00050,2023-08-14,Account Management,I waited longer than usual for a callback but it came eventually.,2,10,0,0
C00050,2023-09-05,Service Quality,I waited longer than usual for a callback but it came eventually.,2,3,1,1
C00050,2022-03-05,Outage,Could you send me a copy of last month's bill?,1,4,1,0
C00050,2022-08-14,Account Management,I have been trying to get this resolved for two weeks now.,3,6,0,1
C00050,2022-10-27,Billing,The email confirmation for my account change took two days to arrive.,2,3,0,1
C00050,2022-12-04,Meter Reading,The website was slow when I tried to log in yesterday.,2,4,0,0
C00050,2023-07-03,Account Management,I need to change my contact phone number on the account.,1,2,0,1
C00051,2023-08-11,Technical,I had trouble navigating the new online portal at first.,2,5,0,1
C00052,2023-04-09,Service Quality,The website was slow when I tried to log in yesterday.,2,12,1,1
C00053,2022-12-11,Technical,The technician did not show up at the agreed time without any notice.,3,15,0,1
C00053,2023-09-17,Service Quality,The customer service agent I spoke to was not very helpful.,3,9,0,1
C00053,2023-03-12,Outage,Can you confirm my direct debit amount?,1,8,0,1
C00053,2024-08-11,Outage,Response time was a bit slower than last time I called.,2,4,1,0
C00053,2022-08-07,Meter Reading,Response time was a bit slower than last time I called.,2,14,0,1
C00053,2023-05-27,Technical,My account was charged incorrectly and I am still waiting for a credit.,3,19,0,1
C00054,2022-12-06,Outage,The technician arrived a bit late but did a good job.,2,8,0,1
C00055,2024-03-19,Meter Reading,I need to change my contact phone number on the account.,1,4,0,1
C00055,2022-08-26,Meter Reading,Quick question about the new tariff letter I received.,1,9,0,1
C00055,2023-03-23,Outage,"Everything is fine, just updating my details.",1,7,0,1
C00056,2024-11-17,Meter Reading,Nobody in your company seems to take responsibility for anything.,4,24,1,1
C00056,2023-04-18,Outage,I am not satisfied with how my previous complaint was handled.,3,12,0,1
C00058,2024-05-28,Meter Reading,The website was slow when I tried to log in yesterday.,2,9,1,0
C00058,2024-07-17,Meter Reading,Response time was a bit slower than last time I called.,2,2,0,0
C00059,2024-08-14,Account Management,My meter reading submission didn't go through on the first try.,2,6,1,1
C00059,2024-08-27,Account Management,I am switching providers immediately. I cannot tolerate this incompetence.,5,5,1,1
C00059,2023-06-16,Technical,My bill has errors and I have had to call twice about the same issue.,3,2,0,1
C00059,2023-12-20,Billing,I am considering switching providers if this is not fixed immediately.,4,22,0,1
C00061,2023-11-23,Billing,My power has been out for two days and nobody has given me an update.,4,24,1,0
C00062,2024-07-20,Meter Reading,Can you confirm my direct debit amount?,1,6,0,1
C00063,2024-03-17,Technical,The email confirmation for my account change took two days to arrive.,2,7,0,1
C00063,2023-03-04,Billing,My bill has errors and I have had to call twice about the same issue.,3,19,0,0
C00064,2023-02-28,Service Quality,"There was a small discrepancy on my statement, now resolved.",2,8,1,1
C00064,2024-11-17,Service Quality,The technician did not show up at the agreed time without any notice.,3,11,1,0
C00066,2022-11-28,Technical,I have been trying to get this resolved for two weeks now.,3,1,0,0
C00066,2022-09-25,Outage,"Everything is fine, just updating my details.",1,6,1,1
C00067,2024-01-19,Technical,The technician arrived a bit late but did a good job.,2,11,0,0
C00067,2023-01-23,Billing,I am not satisfied with how my previous complaint was handled.,3,8,1,1
C00067,2023-09-02,Billing,I waited longer than usual for a callback but it came eventually.,2,8,0,1
C00068,2024-10-28,Outage,I have been without power for five days and your team does not care at all.,5,25,0,1
C00069,2023-12-22,Account Management,I have been waiting over a week for someone to call me back.,3,15,0,0
C00070,2023-10-25,Service Quality,The customer service agent I spoke to was not very helpful.,3,8,0,1
C00071,2022-09-03,Account Management,I have been waiting over a week for someone to call me back.,3,3,0,0
C00071,2022-03-09,Account Management,This is absolutely disgraceful. I am filing a formal complaint with the regulator.,5,25,0,1
C00072,2024-12-11,Billing,I was treated rudely on my last call and I want this addressed.,4,5,1,1
C00072,2022-02-16,Meter Reading,I have been trying to get this resolved for two weeks now.,3,12,0,1
C00072,2024-07-05,Billing,The technician did not show up at the agreed time without any notice.,3,4,0,0
C00073,2024-05-25,Service Quality,I took a day off work for the technician and nobody came.,4,11,1,0
C00073,2024-01-11,Billing,I waited longer than usual for a callback but it came eventually.,2,2,1,1
C00075,2023-02-23,Billing,I want to switch to paperless billing.,1,1,0,0
C00075,2023-01-19,Meter Reading,Calling to update my billing address.,1,5,1,0
C00076,2023-11-03,Technical,I need to change my contact phone number on the account.,1,9,0,1
C00076,2024-08-12,Outage,I waited longer than usual for a callback but it came eventually.,2,6,0,1
C00076,2024-02-13,Account Management,The technician did not show up at the agreed time without any notice.,3,17,0,0
C00077,2024-09-27,Account Management,"Everything is fine, just updating my details.",1,2,1,1
C00077,2024-08-05,Outage,The rate increase was not communicated clearly and came as a surprise.,3,17,0,1
C00077,2024-04-17,Account Management,The level of service I am receiving is completely unacceptable.,4,10,1,0
C00077,2024-04-27,Outage,"There was a small discrepancy on my statement, now resolved.",2,5,0,0
C00077,2022-04-05,Service Quality,I have been waiting over a week for someone to call me back.,3,7,0,0
C00079,2023-01-01,Technical,My bill has errors and I have had to call twice about the same issue.,3,1,1,1
C00079,2024-05-05,Account Management,I have been waiting over a week for someone to call me back.,3,10,0,0
C00079,2022-12-12,Meter Reading,I am very unhappy with the service. My complaint from last month is still open.,4,18,0,1
C00080,2023-06-03,Meter Reading,I waited longer than usual for a callback but it came eventually.,2,4,0,1
C00080,2023-11-24,Billing,I have been without power for five days and your team does not care at all.,5,6,1,0
C00081,2024-07-20,Outage,The customer service agent I spoke to was not very helpful.,3,14,1,1
C00082,2023-12-04,Meter Reading,I want a formal complaint registered. This has gone on too long.,4,2,1,1
C00085,2022-03-19,Meter Reading,I had trouble navigating the new online portal at first.,2,1,0,0
C00088,2024-11-19,Service Quality,I feel like loyal customers are not being valued the way they should be.,3,5,1,0
C00089,2023-01-15,Outage,I am not satisfied with how my previous complaint was handled.,3,5,0,0
C00090,2024-06-23,Service Quality,The technician did not show up at the agreed time without any notice.,3,16,1,1
C00092,2024-05-18,Meter Reading,This is the third billing error in a row. I am losing patience.,4,20,0,1
C00093,2024-06-17,Technical,Response time was a bit slower than last time I called.,2,8,1,1
C00094,2023-06-27,Outage,The technician arrived a bit late but did a good job.,2,5,0,0
C00094,2024-03-23,Billing,I would like to know my current contract end date.,1,9,0,1
C00095,2024-01-21,Outage,The technician arrived a bit late but did a good job.,2,9,0,1
C00095,2024-01-16,Account Management,Could you send me a copy of last month's bill?,1,1,0,1
C00095,2024-05-05,Meter Reading,I feel like loyal customers are not being valued the way they should be.,3,16,0,1
C00095,2024-07-17,Account Management,This is the third billing error in a row. I am losing patience.,4,17,0,1
C00095,2024-10-10,Outage,I want a full refund and I am cancelling everything today.,5,11,1,0
C00096,2022-08-19,Account Management,"There was a small discrepancy on my statement, now resolved.",2,1,0,1
C00096,2024-01-06,Outage,I need to change my contact phone number on the account.,1,5,1,1
C00097,2023-06-26,Billing,I took a day off work for the technician and nobody came.,4,24,0,1
C00097,2023-05-27,Account Management,Can you confirm my direct debit amount?,1,2,0,0
C00097,2023-02-18,Technical,Response time was a bit slower than last time I called.,2,4,0,1
C00098,2023-11-11,Billing,I had trouble navigating the new online portal at first.,2,5,0,0
C00098,2022-01-02,Billing,This is the third billing error in a row. I am losing patience.,4,14,0,0
C00100,2022-04-06,Meter Reading,I am considering switching providers if this is not fixed immediately.,4,15,1,0
C00100,2022-11-11,Billing,Can you confirm my direct debit amount?,1,8,0,1
C00100,2023-06-01,Service Quality,The technician arrived a bit late but did a good job.,2,1,0,1
C00101,2024-07-23,Meter Reading,The technician did not show up at the agreed time without any notice.,3,18,1,1
C00102,2022-03-28,Billing,The website was slow when I tried to log in yesterday.,2,11,0,1
C00102,2023-09-07,Meter Reading,I am not satisfied with how my previous complaint was handled.,3,6,1,1
C00102,2023-01-02,Service Quality,I am very unhappy with the service. My complaint from last month is still open.,4,3,0,0
C00103,2023-06-01,Meter Reading,I want to switch to paperless billing.,1,8,0,0
C00103,2024-09-17,Account Management,The technician arrived a bit late but did a good job.,2,7,0,1
C00103,2024-01-03,Technical,Calling to update my billing address.,1,4,0,1
C00105,2023-02-06,Billing,I have escalated this complaint twice and it is still not resolved.,4,16,0,0
C00105,2023-08-03,Meter Reading,I was treated rudely on my last call and I want this addressed.,4,20,1,0
C00105,2023-01-26,Meter Reading,Calling to update my billing address.,1,7,0,1
C00106,2022-12-03,Billing,I want a full refund and I am cancelling everything today.,5,21,0,0
C00106,2023-12-19,Service Quality,Calling to update my billing address.,1,1,0,1
C00106,2024-07-27,Service Quality,This is absolutely disgraceful. I am filing a formal complaint with the regulator.,5,28,1,0
C00106,2022-09-01,Service Quality,Calling to update my billing address.,1,9,0,0
C00107,2024-10-23,Outage,The rate increase was not communicated clearly and came as a surprise.,3,12,1,0
C00108,2022-06-03,Technical,I feel like loyal customers are not being valued the way they should be.,3,1,0,1
C00108,2024-10-02,Outage,"There was a small discrepancy on my statement, now resolved.",2,11,0,0
C00108,2023-05-07,Technical,I am considering switching providers if this is not fixed immediately.,4,2,0,0
C00108,2022-09-25,Service Quality,This is absolutely disgraceful. I am filing a formal complaint with the regulator.,5,10,0,0
C00111,2022-12-12,Account Management,Response time was a bit slower than last time I called.,2,11,0,1
C00111,2024-04-09,Billing,Nobody in your company seems to take responsibility for anything.,4,14,1,1
C00111,2024-05-28,Technical,I feel like loyal customers are not being valued the way they should be.,3,14,1,1
C00113,2022-04-27,Meter Reading,I am very unhappy with the service. My complaint from last month is still open.,4,19,0,0
C00113,2023-11-21,Outage,I need to change my contact phone number on the account.,1,8,0,1
C00113,2024-11-15,Billing,My meter reading submission didn't go through on the first try.,2,10,1,0
C00113,2022-04-11,Technical,Just checking when my next meter read is scheduled.,1,9,0,1
C00113,2022-02-19,Account Management,I waited longer than usual for a callback but it came eventually.,2,14,1,1
C00115,2023-07-11,Billing,I have been trying to get this resolved for two weeks now.,3,4,0,0
C00115,2022-09-12,Account Management,This is the third billing error in a row. I am losing patience.,4,14,1,1
C00115,2022-04-10,Technical,The technician arrived a bit late but did a good job.,2,7,0,1
C00116,2024-08-22,Account Management,I took a day off work for the technician and nobody came.,4,1,0,0
C00116,2023-04-20,Meter Reading,I have been without power for five days and your team does not care at all.,5,9,0,0
C00117,2023-08-24,Account Management,The worst customer experience I have ever had in my life.,5,10,0,0
C00117,2023-12-03,Account Management,My meter reading submission didn't go through on the first try.,2,6,0,1
C00117,2022-04-18,Service Quality,Nobody in your company seems to take responsibility for anything.,4,22,1,0
C00118,2024-11-22,Technical,I want a formal complaint registered. This has gone on too long.,4,9,1,0
C00118,2024-07-28,Service Quality,I am considering switching providers if this is not fixed immediately.,4,10,0,1
C00118,2024-12-06,Meter Reading,Can you confirm my direct debit amount?,1,8,0,1
C00118,2024-03-08,Billing,I need to change my contact phone number on the account.,1,2,0,1
C00119,2022-01-21,Technical,The customer service agent I spoke to was not very helpful.,3,13,0,0
C00119,2023-11-13,Meter Reading,The technician arrived a bit late but did a good job.,2,8,0,0
C00119,2023-05-10,Billing,I would like to know my current contract end date.,1,1,0,1
C00120,2024-09-06,Meter Reading,Could you send me a copy of last month's bill?,1,6,0,1
C00120,2024-09-12,Billing,I want a full refund and I am cancelling everything today.,5,20,1,0
C00122,2022-04-20,Technical,I have been waiting over a week for someone to call me back.,3,12,1,1
C00123,2022-11-12,Meter Reading,The rate increase was not communicated clearly and came as a surprise.,3,11,1,1
C00123,2024-09-25,Outage,The website was slow when I tried to log in yesterday.,2,13,0,0
C00124,2023-01-06,Outage,This is absolutely disgraceful. I am filing a formal complaint with the regulator.,5,11,0,0
C00124,2023-04-18,Technical,"There was a small discrepancy on my statement, now resolved.",2,11,0,1
C00126,2024-10-08,Technical,I had trouble navigating the new online portal at first.,2,2,0,1
C00127,2022-02-09,Service Quality,My bill has errors and I have had to call twice about the same issue.,3,5,0,1
C00127,2023-05-25,Service Quality,My meter reading submission didn't go through on the first try.,2,5,0,1
C00127,2022-12-02,Billing,"There was a small discrepancy on my statement, now resolved.",2,6,0,1
C00128,2024-09-21,Technical,The website was slow when I tried to log in yesterday.,2,1,0,0
C00128,2024-01-11,Service Quality,Quick question about the new tariff letter I received.,1,7,0,1
C00128,2024-02-09,Service Quality,Quick question about the new tariff letter I received.,1,9,0,1
C00129,2024-02-20,Account Management,The email confirmation for my account change took two days to arrive.,2,2,0,1
C00130,2022-02-05,Billing,I waited longer than usual for a callback but it came eventually.,2,11,0,1
C00130,2022-08-27,Outage,I was treated rudely on my last call and I want this addressed.,4,16,0,1
C00130,2023-10-14,Service Quality,Calling to update my billing address.,1,8,0,1
C00131,2023-05-10,Outage,I have escalated this complaint twice and it is still not resolved.,4,7,0,1
C00131,2024-02-05,Meter Reading,Response time was a bit slower than last time I called.,2,10,0,1
C00132,2022-07-10,Outage,I have been without power for five days and your team does not care at all.,5,20,1,1
C00133,2023-07-18,Meter Reading,"There was a small discrepancy on my statement, now resolved.",2,12,1,0
C00133,2022-02-11,Service Quality,The online chat bot could not help me and I had to call anyway.,3,8,0,0
C00133,2023-01-21,Billing,My account was charged incorrectly and I am still waiting for a credit.,3,1,1,1
C00133,2023-11-22,Meter Reading,"Three technicians, three no-shows. I have lost my patience entirely.",5,23,0,0
C00134,2023-01-11,Service Quality,I have been trying to get this resolved for two weeks now.,3,16,0,0
C00136,2022-01-11,Meter Reading,I have been waiting over a week for someone to call me back.,3,18,1,0
C00136,2023-01-23,Account Management,Calling to update my billing address.,1,6,1,1
C00138,2024-05-10,Account Management,I am not satisfied with how my previous complaint was handled.,3,4,0,0
C00140,2024-02-22,Billing,Nobody in your company seems to take responsibility for anything.,4,5,0,0
C00140,2024-08-22,Billing,Could you send me a copy of last month's bill?,1,7,0,1
C00141,2022-05-24,Outage,I have escalated this complaint twice and it is still not resolved.,4,15,1,1
C00141,2024-08-02,Meter Reading,I waited longer than usual for a callback but it came eventually.,2,3,1,0
C00141,2022-05-06,Billing,The customer service agent I spoke to was not very helpful.,3,1,0,1
C00143,2022-01-03,Outage,I am switching providers immediately. I cannot tolerate this incompetence.,5,26,1,0
C00143,2022-07-06,Account Management,I have been trying to get this resolved for two weeks now.,3,15,0,1
C00143,2022-02-26,Service Quality,The website was slow when I tried to log in yesterday.,2,10,0,1
C00144,2024-09-19,Outage,Quick question about the new tariff letter I received.,1,3,0,1
C00144,2022-07-17,Outage,I was on hold for about 20 minutes which felt long.,2,7,0,1
C00144,2022-06-21,Billing,My bill has errors and I have had to call twice about the same issue.,3,16,0,1
C00144,2022-07-07,Account Management,The technician did not show up at the agreed time without any notice.,3,4,0,1
C00144,2022-09-02,Outage,This is absolutely disgraceful. I am filing a formal complaint with the regulator.,5,9,1,0
C00144,2024-06-25,Technical,The customer service agent I spoke to was not very helpful.,3,19,0,1
C00144,2023-03-23,Service Quality,"Three technicians, three no-shows. I have lost my patience entirely.",5,1,0,0
C00144,2023-03-11,Service Quality,The website was slow when I tried to log in yesterday.,2,7,1,1
C00145,2024-11-23,Meter Reading,I am contacting my lawyer. This is negligent and completely unacceptable.,5,20,1,0
C00145,2024-04-12,Technical,The email confirmation for my account change took two days to arrive.,2,4,0,1
C00145,2024-03-01,Billing,I want a formal complaint registered. This has gone on too long.,4,7,1,1
C00145,2024-03-21,Outage,I have escalated this complaint twice and it is still not resolved.,4,8,1,0
C00146,2023-07-21,Meter Reading,Calling to update my billing address.,1,2,0,1
C00146,2024-02-21,Outage,The technician did not show up at the agreed time without any notice.,3,10,0,1
C00146,2023-07-21,Account Management,I took a day off work for the technician and nobody came.,4,8,1,0
C00146,2022-09-21,Service Quality,My power has been out for two days and nobody has given me an update.,4,23,1,0
C00146,2022-04-05,Billing,I would like to know my current contract end date.,1,1,0,0
C00146,2022-02-16,Outage,I was treated rudely on my last call and I want this addressed.,4,10,1,0
C00149,2022-08-13,Service Quality,I want to cancel my account. I have had enough of this terrible service.,5,8,1,0
C00149,2022-06-24,Outage,The customer service agent I spoke to was not very helpful.,3,3,1,0
C00150,2022-04-10,Billing,I am switching providers immediately. I cannot tolerate this incompetence.,5,3,1,0
C00151,2024-04-05,Billing,My power has been out for two days and nobody has given me an update.,4,11,0,0
C00151,2022-04-14,Service Quality,Response time was a bit slower than last time I called.,2,2,0,1
C00151,2022-03-28,Account Management,I had trouble navigating the new online portal at first.,2,9,1,0
C00152,2023-04-28,Billing,The technician did not show up at the agreed time without any notice.,3,12,1,0
C00153,2024-11-03,Billing,I waited longer than usual for a callback but it came eventually.,2,3,0,0
C00154,2022-06-20,Outage,The rate increase was not communicated clearly and came as a surprise.,3,10,0,0
C00155,2024-11-07,Service Quality,My bill has errors and I have had to call twice about the same issue.,3,14,0,1
C00155,2023-08-21,Outage,I want a formal complaint registered. This has gone on too long.,4,3,1,1
C00156,2023-01-27,Technical,I was on hold for about 20 minutes which felt long.,2,5,0,1
C00156,2023-12-04,Technical,I had trouble navigating the new online portal at first.,2,14,1,0
C00156,2024-07-13,Billing,My bill was slightly higher than I expected this month.,2,11,1,1
C00157,2022-01-01,Service Quality,The level of service I am receiving is completely unacceptable.,4,19,1,1
C00157,2023-12-24,Technical,I had trouble navigating the new online portal at first.,2,11,1,1
C00157,2023-12-07,Service Quality,I am not satisfied with how my previous complaint was handled.,3,10,0,1
C00158,2024-08-27,Outage,I need to change my contact phone number on the account.,1,2,0,1
C00158,2023-06-09,Meter Reading,I want a formal complaint registered. This has gone on too long.,4,20,0,0
C00158,2022-07-11,Account Management,Could you send me a copy of last month's bill?,1,4,0,1
C00160,2024-09-12,Service Quality,The customer service agent I spoke to was not very helpful.,3,16,1,0
C00161,2022-12-08,Outage,My meter reading submission didn't go through on the first try.,2,5,0,0
C00161,2022-08-04,Meter Reading,My bill was slightly higher than I expected this month.,2,12,0,1
C00162,2023-10-28,Technical,I was treated rudely on my last call and I want this addressed.,4,23,0,1
C00162,2024-11-21,Account Management,I would like to check my current balance please.,1,2,1,1
C00163,2024-03-25,Meter Reading,I would like to know my current contract end date.,1,6,1,1
C00164,2024-11-21,Service Quality,The technician did not show up at the agreed time without any notice.,3,2,1,1
C00164,2024-11-01,Billing,Can you confirm my direct debit amount?,1,5,0,1
C00165,2023-01-27,Outage,I waited longer than usual for a callback but it came eventually.,2,10,0,1
C00165,2024-01-20,Outage,I have been without power for five days and your team does not care at all.,5,29,0,1
C00165,2024-09-15,Billing,I am considering switching providers if this is not fixed immediately.,4,5,1,1
C00166,2022-05-09,Service Quality,The level of service I am receiving is completely unacceptable.,4,12,1,1
C00166,2022-07-24,Account Management,I feel like loyal customers are not being valued the way they should be.,3,11,0,1
C00168,2022-07-23,Outage,Calling to update my billing address.,1,9,0,1
C00168,2024-06-03,Account Management,I waited longer than usual for a callback but it came eventually.,2,7,0,0
